Vmem,tun,Energy
0,4.021637E-01,8.044517E-14
0,4.023328E-01,8.055558E-14
0,4.025110E-01,8.066453E-14
0,4.026979E-01,8.079416E-14
0,4.028935E-01,8.092217E-14
0,4.030978E-01,8.105592E-14
0,4.033104E-01,8.119526E-14
0,4.035292E-01,8.133878E-14
0,4.037583E-01,8.148728E-14
0,4.039955E-01,8.164512E-14
0,4.042406E-01,8.181007E-14
0,4.044934E-01,8.197664E-14
0,4.047539E-01,8.214845E-14
0,4.050218E-01,8.232370E-14
0,4.052970E-01,8.250565E-14
0,4.055794E-01,8.269258E-14
0,4.058688E-01,8.288398E-14
0,4.061652E-01,8.308059E-14
0,4.064682E-01,8.328193E-14
0,4.067779E-01,8.348912E-14
0,4.070939E-01,8.369972E-14
0,4.074163E-01,8.391460E-14
0,4.077448E-01,8.413405E-14
0,4.080802E-01,8.435841E-14
0,4.084206E-01,8.458648E-14
0,4.087666E-01,8.481881E-14
0,4.091182E-01,8.505470E-14
0,4.094753E-01,8.529489E-14
0,4.098376E-01,8.553959E-14
0,4.102050E-01,8.578761E-14
0,4.105775E-01,8.603624E-14
0,4.109548E-01,8.629491E-14
0,4.113368E-01,8.658784E-14
0,4.117235E-01,8.685058E-14
0,4.121145E-01,8.711695E-14
0,4.124290E-01,8.733035E-14
0,4.128284E-01,8.760334E-14
0,4.132318E-01,8.787910E-14
0,4.136392E-01,8.815692E-14
0,4.140504E-01,8.843945E-14
0,4.144653E-01,8.872442E-14
0,4.148838E-01,8.901200E-14
0,4.153058E-01,8.930636E-14
0,4.157312E-01,8.959804E-14
0,4.161613E-01,8.989588E-14
0,4.165931E-01,9.019280E-14
0,4.170280E-01,9.049334E-14
0,4.174658E-01,9.079459E-14
0,4.179065E-01,9.110303E-14
0,4.183434E-01,9.140854E-14
0,4.187895E-01,9.171178E-14
0,4.192382E-01,9.202659E-14
0,4.196894E-01,9.234701E-14
0,4.201430E-01,9.266626E-14
0,4.205989E-01,9.298480E-14
0,4.210571E-01,9.330817E-14
0,4.215174E-01,9.363222E-14
0,4.219798E-01,9.395766E-14
0,4.224442E-01,9.428328E-14
0,4.229106E-01,9.461227E-14
0,4.233789E-01,9.499285E-14
0,4.238490E-01,9.532529E-14
0,4.243208E-01,9.565938E-14
0,4.247944E-01,9.599575E-14
0,4.252696E-01,9.633422E-14
0,4.257463E-01,9.667436E-14
0,4.262246E-01,9.701503E-14
0,4.267045E-01,9.733309E-14
0,4.271857E-01,9.767860E-14
0,4.276683E-01,9.802674E-14
0,4.281522E-01,9.837629E-14
0,4.286375E-01,9.872738E-14
0,4.291277E-01,9.907175E-14
0,4.296154E-01,9.942420E-14
0,4.301043E-01,9.976861E-14
0,4.305944E-01,1.001364E-13
0,4.310856E-01,1.004935E-13
0,4.315768E-01,1.008542E-13
0,4.320701E-01,1.012278E-13
0,4.325644E-01,1.015764E-13
0,4.330598E-01,1.019356E-13
0,4.335560E-01,1.022992E-13
0,4.340533E-01,1.026672E-13
0,4.345516E-01,1.030328E-13
0,4.350507E-01,1.034015E-13
0,4.355508E-01,1.037708E-13
0,4.360517E-01,1.041239E-13
0,4.365535E-01,1.045016E-13
0,4.370562E-01,1.048884E-13
0,4.375597E-01,1.052630E-13
0,4.380640E-01,1.056403E-13
0,4.385691E-01,1.060137E-13
0,4.390750E-01,1.063910E-13
0,4.395803E-01,1.067584E-13
0,4.400880E-01,1.071370E-13
0,4.405964E-01,1.075119E-13
0,4.411056E-01,1.078867E-13
0,4.416155E-01,1.082879E-13
0,4.421262E-01,1.086777E-13
0,4.426376E-01,1.090617E-13
0,4.431497E-01,1.094507E-13
0,4.436620E-01,1.098351E-13
0,4.441757E-01,1.102195E-13
0,4.446900E-01,1.106138E-13
0,4.452048E-01,1.110051E-13
0,4.457206E-01,1.113982E-13
0,4.462372E-01,1.117936E-13
0,4.467544E-01,1.121885E-13
0,4.472602E-01,1.125723E-13
0,4.477789E-01,1.129696E-13
0,4.482982E-01,1.133720E-13
0,4.488185E-01,1.137696E-13
0,4.493396E-01,1.143170E-13
0,4.498612E-01,1.147202E-13
0,4.503834E-01,1.151650E-13
0,4.509062E-01,1.155704E-13
0,4.514767E-01,1.160135E-13
0,4.520497E-01,1.164625E-13
0,4.526234E-01,1.169098E-13
0,4.531981E-01,1.172017E-13
0,4.537735E-01,1.176924E-13
0,4.543499E-01,1.181421E-13
0,4.549271E-01,1.185931E-13
0,4.555051E-01,1.190456E-13
0,4.560840E-01,1.195002E-13
0,4.566638E-01,1.199557E-13
0,4.572444E-01,1.204128E-13
0,4.578259E-01,1.208704E-13
0,4.584084E-01,1.213266E-13
0,4.589917E-01,1.217820E-13
0,4.595759E-01,1.222382E-13
0,4.601588E-01,1.227068E-13
0,4.607446E-01,1.231709E-13
0,4.613312E-01,1.236365E-13
0,4.619187E-01,1.241030E-13
0,4.629711E-01,1.249411E-13
0,4.635567E-01,1.254092E-13
0,4.641460E-01,1.258801E-13
0,4.647362E-01,1.263522E-13
0,4.653271E-01,1.268238E-13
0,4.659189E-01,1.272982E-13
0,4.665114E-01,1.277738E-13
0,4.671048E-01,1.282515E-13
0,4.677040E-01,1.291574E-13
0,4.682990E-01,1.295724E-13
0,4.688948E-01,1.300454E-13
0,4.694915E-01,1.305200E-13
0,4.700890E-01,1.309946E-13
0,4.706872E-01,1.315002E-13
0,4.712863E-01,1.320570E-13
0,4.718862E-01,1.325716E-13
0,4.724870E-01,1.330594E-13
0,4.730886E-01,1.335294E-13
0,4.736910E-01,1.340402E-13
0,4.742943E-01,1.345346E-13
0,4.748984E-01,1.350285E-13
0,4.755033E-01,1.355221E-13
0,4.761090E-01,1.360180E-13
0,4.767156E-01,1.365156E-13
0,4.773230E-01,1.370141E-13
0,4.779312E-01,1.374708E-13
0,4.785403E-01,1.379693E-13
0,4.791502E-01,1.385126E-13
0,4.797609E-01,1.390158E-13
0,4.803725E-01,1.395209E-13
0,4.809849E-01,1.400282E-13
0,4.815982E-01,1.405351E-13
0,4.822123E-01,1.410449E-13
0,4.828272E-01,1.415555E-13
0,4.834430E-01,1.420671E-13
0,4.840595E-01,1.425785E-13
0,4.846769E-01,1.430923E-13
0,4.852952E-01,1.436080E-13
0,4.859143E-01,1.441278E-13
0,4.865343E-01,1.446419E-13
0,4.871552E-01,1.451899E-13
0,4.877768E-01,1.455913E-13
0,4.883993E-01,1.461032E-13
0,4.890227E-01,1.466669E-13
0,4.896469E-01,1.471003E-13
0,4.902705E-01,1.477198E-13
0,4.908846E-01,1.482364E-13
0,4.915094E-01,1.487633E-13
0,4.921359E-01,1.492917E-13
0,4.927633E-01,1.498233E-13
0,4.933915E-01,1.503539E-13
0,4.940204E-01,1.508819E-13
0,4.946502E-01,1.514155E-13
0,4.952807E-01,1.519510E-13
0,4.959121E-01,1.524879E-13
0,4.965442E-01,1.530278E-13
0,4.971762E-01,1.535648E-13
0,4.978098E-01,1.541004E-13
0,4.984442E-01,1.546421E-13
0,4.990794E-01,1.551850E-13
0,4.997154E-01,1.557291E-13
0,5.003522E-01,1.562746E-13
0,5.009898E-01,1.568216E-13
0,5.016281E-01,1.573684E-13
0,5.022672E-01,1.579155E-13
0,5.029071E-01,1.584662E-13
0,5.035478E-01,1.590186E-13
0,5.041893E-01,1.595719E-13
0,5.048316E-01,1.601255E-13
0,5.054746E-01,1.606779E-13
0,5.061184E-01,1.612351E-13
0,5.067628E-01,1.617691E-13
0,5.074079E-01,1.623241E-13
0,5.080538E-01,1.628828E-13
0,5.087005E-01,1.634447E-13
0,5.093480E-01,1.639596E-13
0,5.099963E-01,1.645404E-13
0,5.106453E-01,1.651302E-13
0,5.112951E-01,1.656946E-13
0,5.119457E-01,1.662311E-13
0,5.125970E-01,1.668286E-13
0,5.132441E-01,1.673931E-13
0,5.138970E-01,1.679617E-13
0,5.145506E-01,1.685330E-13
0,5.152050E-01,1.691068E-13
0,5.158601E-01,1.696795E-13
0,5.165161E-01,1.702544E-13
0,5.171728E-01,1.708311E-13
0,5.178302E-01,1.714086E-13
0,5.184885E-01,1.719879E-13
0,5.191475E-01,1.725679E-13
0,5.198073E-01,1.731491E-13
0,5.204679E-01,1.737317E-13
0,5.211199E-01,1.743072E-13
0,5.217815E-01,1.748918E-13
0,5.224439E-01,1.754783E-13
0,5.231070E-01,1.760548E-13
0,5.237708E-01,1.766413E-13
0,5.244344E-01,1.772287E-13
0,5.250997E-01,1.778178E-13
0,5.257658E-01,1.784654E-13
0,5.264325E-01,1.790883E-13
0,5.271000E-01,1.796800E-13
0,5.277683E-01,1.802741E-13
0,5.284372E-01,1.808690E-13
0,5.291069E-01,1.814637E-13
0,5.298209E-01,1.820993E-13
0,5.304920E-01,1.826974E-13
0,5.311640E-01,1.831972E-13
0,5.318365E-01,1.838014E-13
0,5.325098E-01,1.844035E-13
0,5.331838E-01,1.850088E-13
0,5.338585E-01,1.856145E-13
0,5.345340E-01,1.862213E-13
0,5.352101E-01,1.868290E-13
0,5.358871E-01,1.874361E-13
0,5.365647E-01,1.880451E-13
0,5.372431E-01,1.886349E-13
0,5.379222E-01,1.892460E-13
0,5.386020E-01,1.898583E-13
0,5.392451E-01,1.904793E-13
0,5.399262E-01,1.915286E-13
0,5.406080E-01,1.921479E-13
0,5.415424E-01,1.929857E-13
0,5.422270E-01,1.936083E-13
0,5.429123E-01,1.942334E-13
0,5.436656E-01,1.949217E-13
0,5.442598E-01,1.954734E-13
0,5.449474E-01,1.960868E-13
0,5.456357E-01,1.967130E-13
0,5.463613E-01,1.973330E-13
0,5.469829E-01,1.979047E-13
0,5.476731E-01,1.985357E-13
0,5.483670E-01,1.991706E-13
0,5.490515E-01,1.997895E-13
0,5.497438E-01,2.004169E-13
0,5.504369E-01,2.010492E-13
0,5.511306E-01,2.016821E-13
0,5.518250E-01,2.022803E-13
0,5.525201E-01,2.029746E-13
0,5.532173E-01,2.028061E-13
0,5.538314E-01,2.033750E-13
0,5.545248E-01,2.040129E-13
0,5.552264E-01,2.046588E-13
0,5.559196E-01,2.052970E-13
0,5.566174E-01,2.059403E-13
0,5.573133E-01,2.065793E-13
0,5.580099E-01,2.072423E-13
0,5.587071E-01,2.078860E-13
0,5.594050E-01,2.085307E-13
0,5.601036E-01,2.091790E-13
0,5.608028E-01,2.098065E-13
0,5.615026E-01,2.104399E-13
0,5.622031E-01,2.110465E-13
0,5.629042E-01,2.116903E-13
0,5.634091E-01,2.121497E-13
0,5.641107E-01,2.127928E-13
0,5.648129E-01,2.134367E-13
0,5.655158E-01,2.140769E-13
0,5.662194E-01,2.148199E-13
0,5.669236E-01,2.154663E-13
0,5.676284E-01,2.158887E-13
0,5.683339E-01,2.165538E-13
0,5.690400E-01,2.172056E-13
0,5.697468E-01,2.180105E-13
0,5.704543E-01,2.185320E-13
0,5.711624E-01,2.191937E-13
0,5.718647E-01,2.198503E-13
0,5.726043E-01,2.205783E-13
0,5.733077E-01,2.212375E-13
0,5.740098E-01,2.218961E-13
0,5.747129E-01,2.225527E-13
0,5.754177E-01,2.232150E-13
0,5.761223E-01,2.238772E-13
0,5.768283E-01,2.245458E-13
0,5.775639E-01,2.252335E-13
0,5.782450E-01,2.258805E-13
0,5.789539E-01,2.267447E-13
0,5.796638E-01,2.274159E-13
0,5.803720E-01,2.280860E-13
0,5.810836E-01,2.287598E-13
0,5.817961E-01,2.294344E-13
0,5.825094E-01,2.301111E-13
0,5.832235E-01,2.307982E-13
0,5.839954E-01,2.315334E-13
0,5.847157E-01,2.322116E-13
0,5.854365E-01,2.329082E-13
0,5.861580E-01,2.335960E-13
0,5.868802E-01,2.342863E-13
0,5.876029E-01,2.349757E-13
0,5.883263E-01,2.356667E-13
0,5.890565E-01,2.363663E-13
0,5.897486E-01,2.370281E-13
0,5.904724E-01,2.377208E-13
